Constant,coho_salmon,chinook_salmon,chinook_juvenile,chinook_juvenile2,sockeye1,sockeye2,steelhead,steelhead_rr,pink,alewife_YOY,alewife_juvenile,alewife_adult,bloater chub,bluegull_juvenile,bluegill_adult,dace,generalized_coregonid_YOY,generalized_coregonid_juvenile,generalized_coregonid_adult,herring_juvenile,herring_adult,lake_trout,largemouth_bass,largemouth_bass2,larval_yellow_perch,muskellunge,mysis,nile_perch,northern_pike,sea_lamprey,smallmouth_bass,smelt_YOY,smelt_juvenile,smelt_adult,striped_bass_age-1,striped_bass_age-2,striped_bass_age-3,striped_bass_age-0,striped_bass-larvae,tilapia,walleye_adult,walley_juvenile,walleye_pollock_juvenile,walleye_pollock_adult,yellow_perch_juvenile,yellow_perch_adult,bluefish_YOY,bluefish_juvenile,bluefish_adult_age-0,weakfish_age-0,weakfish_age-1+
RK4,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,-0.045,-0.045,-0.045,0.025,,,,0.025,0.025,0.025,0.13,0.13,0.05,0,0,,0,0,,0,,,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
ACT,9.7,9.7,9.7,9.7,9.9,9.9,9.7,1.3,9.9,5.78,5.78,5.78,0,1,1,1,0,0,0,3.9,3.9,11.7,1,1,4.4,1,0,2,1,1.5,2,0,0,0,1,1,1,1,1.5,1,1,3,1.4,1.4,1,1,1,1,1,1,1
BACT,0.0405,0.0405,0.0405,0.0405,0.0405,0.0405,0.0405,0.0405,0.0405,0.149,0.149,0.149,0,,,,0,0,0,0.149,0.149,0.0405,0,0,,0,0,,0,,,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
SDA,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.175,0.175,0.175,0.17,0.172,0.172,0.15,0.17,0.17,0.17,0.175,0.175,0.0172,0.163,0.142,0.15,0.14,0.18,0.163,0.14,0.172,0.16,0.175,0.175,0.175,0.172,0.172,0.172,0.172,0.172,0.1,0.172,0.1,0.125,0.125,0.172,0.172,0.172,0.172,0.172,0.172,0.172
ExcrEQ,3,3,3,3,3,3,3,3,3,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1
FA,0.212,0.212,0.212,0.212,0.212,0.212,0.212,0.212,0.212,0.16,0.16,0.16,0.25,0.158,0.158,0.4,0.25,0.25,0.25,0.16,0.16,0.212,0.104,0.104,0.15,0.2,0.15,0.104,0.2,0.03,0.104,0.16,0.16,0.16,0.104,0.104,0.104,0.104,0.15,0.194,0.158,0.25,0.2,0.2,0.158,0.158,0.104,0.104,0.104,0.104,0.104
FB,-0.222,-0.222,-0.222,-0.222,-0.222,-0.222,-0.222,-0.222,-0.222,,,,,-0.222,-0.222,,,,,,,-0.222,,,,,,,,,,,,,,,,,,,-0.222,,,,-0.222,-0.222,,,,,
FG,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,,,,,0.631,0.631,,,,,,,0.631,,,,,,,,,,,,,,,,,,,0.631,,,,0.631,0.631,,,,,
UA,0.0314,0.0314,0.0314,0.0314,0.0314,0.0314,0.0314,0.0314,0.0314,0.1,0.1,0.1,0.1,0.0253,0.0253,0.1,0.1,0.1,0.1,0.1,0.1,0.0314,0.068,0.079,0.15,0.07,0.18,0.068,0.07,0.15,1.068,0.1,0.1,0.1,0.068,0.068,0.068,0.068,0.1,0.028,0.0253,0.05,0.11,0.11,0.0253,0.0253,0.068,0.068,0.068,0.068,0.068
UB,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,,,,,0.58,0.58,,,,,,,0.58,,,,,,,,,,,,,,,,,,,0.58,,,,0.58,0.58,,,,,
UG,-0.299,-0.299,-0.299,-0.299,-0.299,-0.299,-0.299,-0.299,-0.299,,,,,-0.299,-0.299,,,,,,,-0.299,,,,,,,,,,,,,,,,,,,-0.299,,,,-0.299,-0.299,,,,,
