"Period","Riparian","ScenNo","SY_Survival","Y_Survival","DateEmerge","DateOutmigrate","SY_Mass","Y_Mass"
"Historical","Baseline",0,0.105181924619989,0.0130188252865668,1901-02-27 16:00:00,1901-04-08 16:00:00,0.813150229536859,4.73250296854111
"Historical","FullRestoration",1,0.10409555969088,0.0125402474795841,1901-02-28 16:00:00,1901-04-11 16:00:00,0.846289881510353,5.4363500411552
"Historical","PartialRestoration",3,0.106044905008636,0.0110447312277639,1901-02-27 16:00:00,1901-04-11 16:00:00,0.843238166256431,5.3142067750697
"Historical","Degradation",2,0.111815584079352,0.011887844552416,1901-02-21 16:00:00,1901-04-03 16:00:00,0.815165005031677,4.30795696076956
"Future","Baseline",0,0.19460351648793,0.0187435789670309,1900-12-09 16:00:00,1901-01-14 16:00:00,0.837909929423883,3.75303531847576
"Future","FullRestoration",1,0.192444219066937,0.0193798449612403,1900-12-09 16:00:00,1901-01-15 16:00:00,0.850650074397719,4.90520315653909
"Future","PartialRestoration",3,0.19327071245499,0.0190254695710675,1900-12-09 16:00:00,1901-01-15 16:00:00,0.845277662019724,4.84233891251561
"Future","Degradation",2,0.196940737934836,0.019562416986162,1900-12-07 16:00:00,1901-01-13 16:00:00,0.850116323044205,3.64696625766318
