Month ,Variable,Period,GCM,Value
10,P,H,CNRM-CM5,287.15
11,P,H,CNRM-CM5,398.56
12,P,H,CNRM-CM5,306.69
1,P,F,CNRM-CM5,399.95
2,P,F,CNRM-CM5,244.17
3,P,F,CNRM-CM5,239.03
4,P,F,CNRM-CM5,266.91
5,P,F,CNRM-CM5,201.23
6,P,F,CNRM-CM5,80.78
7,P,F,CNRM-CM5,32.01
8,P,F,CNRM-CM5,28.75
9,P,F,CNRM-CM5,94.93
10,P,F,CNRM-CM5,213.26
11,P,F,CNRM-CM5,473.04
12,P,F,CNRM-CM5,349.76
1,T,H,CNRM-CM5,0.91
2,T,H,CNRM-CM5,2.43
3,T,H,CNRM-CM5,3.57
4,T,H,CNRM-CM5,6.51
5,T,H,CNRM-CM5,10.37
6,T,H,CNRM-CM5,12.83
7,T,H,CNRM-CM5,16.74
8,T,H,CNRM-CM5,16.79
9,T,H,CNRM-CM5,13.75
10,T,H,CNRM-CM5,8.65
11,T,H,CNRM-CM5,2.98
12,T,H,CNRM-CM5,0.21
1,T,F,CNRM-CM5,6.28
2,T,F,CNRM-CM5,8.46
3,T,F,CNRM-CM5,8.98
4,T,F,CNRM-CM5,10.48
5,T,F,CNRM-CM5,12.67
6,T,F,CNRM-CM5,16.46
7,T,F,CNRM-CM5,21.66
8,T,F,CNRM-CM5,23.31
9,T,F,CNRM-CM5,19.45
10,T,F,CNRM-CM5,13.10
11,T,F,CNRM-CM5,7.86
12,T,F,CNRM-CM5,5.20
1,P,H,CSIRO-Mk3-6-0,385.08
2,P,H,CSIRO-Mk3-6-0,228.07
3,P,H,CSIRO-Mk3-6-0,226.68
4,P,H,CSIRO-Mk3-6-0,148.59
5,P,H,CSIRO-Mk3-6-0,130.24
6,P,H,CSIRO-Mk3-6-0,106.01
7,P,H,CSIRO-Mk3-6-0,36.25
8,P,H,CSIRO-Mk3-6-0,49.43
9,P,H,CSIRO-Mk3-6-0,105.64
10,P,H,CSIRO-Mk3-6-0,229.59
11,P,H,CSIRO-Mk3-6-0,365.22
12,P,H,CSIRO-Mk3-6-0,366.56
1,P,F,CSIRO-Mk3-6-0,415.52
2,P,F,CSIRO-Mk3-6-0,327.05
3,P,F,CSIRO-Mk3-6-0,334.56
4,P,F,CSIRO-Mk3-6-0,163.00
5,P,F,CSIRO-Mk3-6-0,144.05
6,P,F,CSIRO-Mk3-6-0,43.77
7,P,F,CSIRO-Mk3-6-0,7.88
8,P,F,CSIRO-Mk3-6-0,23.96
9,P,F,CSIRO-Mk3-6-0,86.31
10,P,F,CSIRO-Mk3-6-0,170.65
11,P,F,CSIRO-Mk3-6-0,434.88
12,P,F,CSIRO-Mk3-6-0,369.37
1,T,H,CSIRO-Mk3-6-0,1.11
2,T,H,CSIRO-Mk3-6-0,2.31
3,T,H,CSIRO-Mk3-6-0,3.52
4,T,H,CSIRO-Mk3-6-0,5.84
5,T,H,CSIRO-Mk3-6-0,10.30
6,T,H,CSIRO-Mk3-6-0,13.01
7,T,H,CSIRO-Mk3-6-0,15.85
8,T,H,CSIRO-Mk3-6-0,16.54
9,T,H,CSIRO-Mk3-6-0,14.11
10,T,H,CSIRO-Mk3-6-0,8.02
11,T,H,CSIRO-Mk3-6-0,2.87
12,T,H,CSIRO-Mk3-6-0,1.20
1,T,F,CSIRO-Mk3-6-0,4.94
2,T,F,CSIRO-Mk3-6-0,6.52
3,T,F,CSIRO-Mk3-6-0,6.82
4,T,F,CSIRO-Mk3-6-0,10.79
5,T,F,CSIRO-Mk3-6-0,13.59
6,T,F,CSIRO-Mk3-6-0,19.44
7,T,F,CSIRO-Mk3-6-0,23.02
8,T,F,CSIRO-Mk3-6-0,23.85
9,T,F,CSIRO-Mk3-6-0,20.18
10,T,F,CSIRO-Mk3-6-0,14.02
11,T,F,CSIRO-Mk3-6-0,9.43
12,T,F,CSIRO-Mk3-6-0,6.26
1,P,H,HadGEM2-CC365,393.88
2,P,H,HadGEM2-CC365,260.21
3,P,H,HadGEM2-CC365,248.30
4,P,H,HadGEM2-CC365,216.31
5,P,H,HadGEM2-CC365,161.90
6,P,H,HadGEM2-CC365,134.61
7,P,H,HadGEM2-CC365,53.80
8,P,H,HadGEM2-CC365,95.30
9,P,H,HadGEM2-CC365,155.90
10,P,H,HadGEM2-CC365,241.14
11,P,H,HadGEM2-CC365,339.72
12,P,H,HadGEM2-CC365,286.12
1,P,F,HadGEM2-CC365,495.31
2,P,F,HadGEM2-CC365,294.52
3,P,F,HadGEM2-CC365,256.69
4,P,F,HadGEM2-CC365,180.56
5,P,F,HadGEM2-CC365,127.80
6,P,F,HadGEM2-CC365,92.89
7,P,F,HadGEM2-CC365,40.98
8,P,F,HadGEM2-CC365,33.28
9,P,F,HadGEM2-CC365,130.59
10,P,F,HadGEM2-CC365,313.79
11,P,F,HadGEM2-CC365,375.32
12,P,F,HadGEM2-CC365,382.55
1,T,H,HadGEM2-CC365,1.10
2,T,H,HadGEM2-CC365,1.90
3,T,H,HadGEM2-CC365,3.55
4,T,H,HadGEM2-CC365,5.80
5,T,H,HadGEM2-CC365,9.28
6,T,H,HadGEM2-CC365,11.48
7,T,H,HadGEM2-CC365,15.36
8,T,H,HadGEM2-CC365,15.86
9,T,H,HadGEM2-CC365,12.61
10,T,H,HadGEM2-CC365,8.30
11,T,H,HadGEM2-CC365,3.55
12,T,H,HadGEM2-CC365,0.87
1,T,F,HadGEM2-CC365,6.71
2,T,F,HadGEM2-CC365,9.22
